end_station_name,member_casual,end_lat,end_lng,total_trips
"Central Ave & Harrison St",casual,41.87299443295127,-87.76449528744347,95
"Central Ave & Harrison St",member,41.87299346923828,-87.76449584960938,28
"Central Ave & Lake St",casual,41.887664794921875,-87.76547241210938,112
"Central Ave & Lake St",member,41.887664794921875,-87.76547241210938,67
"Central Ave & Madison St",casual,41.88011932373047,-87.76323699951172,73
"Central Ave & Madison St",member,41.88011954625448,-87.76323693593343,120
"Central Ave & North Ave",member,41.90999984741211,-87.7699966430664,1
"Central Ave & Parker Ave",casual,41.93000030517578,-87.7699966430664,73
"Central Ave & Parker Ave",member,41.93000030517578,-87.7699966430664,69
"Central Ave & Roscoe St",casual,41.939998626708984,-87.7699966430664,80
"Central Ave & Roscoe St",member,41.939998626708984,-87.7699966430664,110
"Central Park & Augusta Blvd",casual,41.900001525878906,-87.72000122070312,28
"Central Park & Augusta Blvd",member,41.900001525878906,-87.72000122070312,51
"Central Park Ave & 24th St",casual,41.84809875488281,-87.7150650024414,197
"Central Park Ave & 24th St",member,41.84809886310117,-87.71506548942403,141
"Central Park Ave & Bloomingdale Ave",casual,41.91416546541954,-87.71675871836376,1579
"Central Park Ave & Bloomingdale Ave",member,41.91416564868097,-87.71675876991833,1457
"Central Park Ave & Douglas Blvd",casual,41.86000061035156,-87.72000122070312,48
"Central Park Ave & Douglas Blvd",member,41.86000061035156,-87.72000122070312,23
"Central Park Ave & Elbridge Ave",casual,41.93533696735936,-87.71688829321104,1191
"Central Park Ave & Elbridge Ave",member,41.935336182792234,-87.71688941811615,1325
"Central Park Ave & North Ave",casual,41.909656613257624,-87.71662898894279,775
"Central Park Ave & North Ave",member,41.9096565246582,-87.71662902832031,538
"Central Park Ave & Ogden Ave",casual,41.85406391795089,-87.71511830482379,369
"Central Park Ave & Ogden Ave",member,41.85404881687029,-87.71513588546861,282
"Central Park Ave & Ohio St",casual,41.88999938964844,-87.72000122070312,68
"Central Park Ave & Ohio St",member,41.88999938964844,-87.72000122070312,58
"Central Park Blvd & 5th Ave",casual,41.87567930018648,-87.71546936035156,94
"Central Park Blvd & 5th Ave",member,41.87567910482717,-87.71546971520712,43
"Central St & Girard Ave",casual,42.06431198120117,-87.68614959716797,421
"Central St & Girard Ave",member,42.06431180530735,-87.68614927836042,694
"Central St Metra",casual,42.06360011630588,-87.69872963734163,468
"Central St Metra",member,42.063601605450664,-87.69872973406757,675
"Champlain Ave & 134th St",casual,41.65999984741211,-87.61000061035156,2
"Chappel Ave & 71st St",casual,41.77000045776367,-87.58000183105469,2
"Chappel Ave & 71st St",member,41.77000045776367,-87.58000183105469,2
"Chase Ave & Touhy Ave - NW",member,42.0099983215332,-87.69000244140625,2
"Cherry Ave & Blackhawk St",casual,41.90722349348669,-87.65561751210053,619
"Cherry Ave & Blackhawk St",member,41.90722287879094,-87.6556172735138,1427
"Chicago Ave & Sheridan Rd",casual,42.050491316939166,-87.6778183144085,2374
"Chicago Ave & Sheridan Rd",member,42.05049134403295,-87.67781828363967,2076
"Chicago Ave & Washington St",casual,42.03256248461756,-87.67910046322419,1234
"Chicago Ave & Washington St",member,42.03256230441007,-87.67910087816642,1650
"Chicago State University",casual,41.718963623046875,-87.6082992553711,108
"Chicago State University",member,41.71896369368942,-87.60829989115398,216
"Chopin Park",casual,41.939998626708984,-87.76000213623047,1
"Christiana Ave & 111th St",casual,41.689998626708984,-87.69999694824219,2
"Christiana Ave & 55th St",casual,41.790000915527344,-87.70999908447266,13
"Christiana Ave & 55th St",member,41.790000915527344,-87.70999908447266,1
"Christiana Ave & Archer Ave",casual,41.810001373291016,-87.70999908447266,13
